date,table name,region name,region size(GB),number of story files
2021-11-12 16:01:15,ATLAS_ENTITY_AUDIT_EVENTS,"ATLAS_ENTITY_AUDIT_EVENTS,,1619351354597.bf9f4da1e146c37687482d14d1967c9f.",0.0087890625,1
2021-11-12 16:01:15,atlas_janus,"atlas_janus,,1619351349975.c3d5961476d0a01167fe203a6ab144b5.",0.0400390625,8
2021-11-12 16:01:15,pricepoint,"pricepoint:pricepoint,,1609238246795.11c8523c9a5695316fd0c22fb62ec61f.",1.77,3
2021-11-12 16:01:15,pricepoint,"pricepoint:pricepoint,2aaaaaaa,1609238246795.ad52ad358e6a548b5fd7c962b3b27368.",1.62,3
2021-11-12 16:01:15,pricepoint,"pricepoint:pricepoint,55555554,1609238246795.f2c6ffc477b752a026664b04a9a92cd3.",1.74,3
2021-11-12 16:01:15,pricepoint,"pricepoint:pricepoint,7ffffffe,1609238246795.130ac71677fd9db96c382c1e72942c42.",1.62,3
2021-11-12 16:01:15,pricepoint,"pricepoint:pricepoint,aaaaaaa8,1609238246795.163f1ba7a0784a5a7fac972a2f043fd0.",1.55,3
2021-11-12 16:01:15,pricepoint,"pricepoint:pricepoint,d5555552,1609238246795.7b5c19826681e2690645bd9641939c26.",1.66,3
2021-11-12 16:01:15,pricepoint_index,"pricepoint:pricepoint_index,,1625651547116.c8e7d74f301b751b12070d19cfefc6c2.",0.0,1
2021-11-12 16:01:15,pricepoint_test,"pricepoint:pricepoint_test,,1613493307031.f0206bcb57c51da56fadd30e55343b66.",6.54,3
2021-11-12 16:01:15,pricepoint_test,"pricepoint:pricepoint_test,782,1613493307031.46f511eb1fa572dd1360fb473728a91c.",8.56,3
2021-11-12 16:01:15,status,"pricepoint:status,,1609238284798.620eeafb3082ae835bc8b7637b9dc3b1.",0.0,1
2021-11-12 16:01:15,test,"test,,1626254625937.b975a1b2846de4a3bdcbdfeb4e590e65.",0.0,1
2021-11-12 16:01:15,test2_idx,"test2_idx,,1624454288466.083f3f7d171d4fe8e79ff826e3297385.",0.0,0
2021-11-12 16:01:15,test_index,"test_index,,1626254933034.37145abd67028d4fd3767c2e46e1cb43.",0.0,1
2021-11-12 16:01:15,test1,"wawomi1:test1,,1608812611710.aff1b32d917b9e080c905c86e342b399.",0.0,1
