date,"['ATLAS_ENTITY_AUDIT_EVENTS', 'dev-datalake-master01.hestia.polska:16030']","['atlas_janus', 'dev-datalake-master01.hestia.polska:16030']","['pricepoint', 'dev-datalake-master01.hestia.polska:16030']","['pricepoint', 'dev-datalake-master01.hestia.polska:16030']","['pricepoint', 'dev-datalake-master01.hestia.polska:16030']","['pricepoint', 'dev-datalake-master01.hestia.polska:16030']","['pricepoint', 'dev-datalake-master01.hestia.polska:16030']","['pricepoint', 'dev-datalake-master01.hestia.polska:16030']","['pricepoint_index', 'dev-datalake-master01.hestia.polska:16030']","['pricepoint_test', 'dev-datalake-master01.hestia.polska:16030']","['pricepoint_test', 'dev-datalake-master01.hestia.polska:16030']","['status', 'dev-datalake-master01.hestia.polska:16030']","['test', 'dev-datalake-master01.hestia.polska:16030']","['test2_idx', 'dev-datalake-master01.hestia.polska:16030']","['test_index', 'dev-datalake-master01.hestia.polska:16030']","['test1', 'dev-datalake-master01.hestia.polska:16030']"
2021-11-10 08:10:59,0.0087890625,0.0400390625,1.77,1.62,1.74,1.62,1.55,1.66,0.0,6.54,8.56,0.0,0.0,0.0,0.0,0.0
2021-11-10 08:11:08,0.0087890625,0.0400390625,1.77,1.62,1.74,1.62,1.55,1.66,0.0,6.54,8.56,0.0,0.0,0.0,0.0,0.0
2021-11-10 08:11:10,0.0087890625,0.0400390625,1.77,1.62,1.74,1.62,1.55,1.66,0.0,6.54,8.56,0.0,0.0,0.0,0.0,0.0
2021-11-10 08:11:12,0.0087890625,0.0400390625,1.77,1.62,1.74,1.62,1.55,1.66,0.0,6.54,8.56,0.0,0.0,0.0,0.0,0.0
2021-11-10 08:11:13,0.0087890625,0.0400390625,1.77,1.62,1.74,1.62,1.55,1.66,0.0,6.54,8.56,0.0,0.0,0.0,0.0,0.0
2021-11-10 08:11:14,0.0087890625,0.0400390625,1.77,1.62,1.74,1.62,1.55,1.66,0.0,6.54,8.56,0.0,0.0,0.0,0.0,0.0
2021-11-10 08:11:16,0.0087890625,0.0400390625,1.77,1.62,1.74,1.62,1.55,1.66,0.0,6.54,8.56,0.0,0.0,0.0,0.0,0.0
2021-11-10 08:11:17,0.0087890625,0.0400390625,1.77,1.62,1.74,1.62,1.55,1.66,0.0,6.54,8.56,0.0,0.0,0.0,0.0,0.0
2021-11-10 08:11:20,0.0087890625,0.0400390625,1.77,1.62,1.74,1.62,1.55,1.66,0.0,6.54,8.56,0.0,0.0,0.0,0.0,0.0
2021-11-10 08:11:21,0.0087890625,0.0400390625,1.77,1.62,1.74,1.62,1.55,1.66,0.0,6.54,8.56,0.0,0.0,0.0,0.0,0.0
2021-11-10 09:07:44,0.0087890625,0.0400390625,1.77,1.62,1.74,1.62,1.55,1.66,0.0,6.54,8.56,0.0,0.0,0.0,0.0,0.0
